"UNIQUE_ID","YEAR","UID","SITE_ID","VISIT_NO","LAT_DD83","LON_DD83","DATE_COL","DSGN_CYCLE","AG_ECO9","COMID","HUC2","WGT_CAT","WGT_TP","vpu_use","FISH_PROTOCOL","SAMPLED_FISH","CHLORIDE_RESULT","SULFATE_RESULT","COND_RESULT","DOC_RESULT","NTL_RESULT","PTL_RESULT","PH_RESULT","TURB_RESULT","PFC_ALG","PFC_AQM","PFC_BRS","PFC_LWD","PFC_LVT","PFC_OHV","PFC_RCK","PFC_UCB","XCMGW","RPVDEP","FCR","WSAREASQKM","TMEAN_S","PSUMPY"
"NRS_AL-10005","2009",12992,"FW08AL011",1,34.7159069704887,-85.6112561599049,"06/09/2009","2008-09","SAP",19645438,"H06","SAP_SS",868.622275701132,"05","SM_WADEABLE","YES-SUFFICIENT",5.65,9.41,70.54,2.25,1.143,53.3325,6.94,3.25,0.0909090909090909,0.272727272727273,0.272727272727273,0,0.181818181818182,0.272727272727273,0.272727272727273,0.727272727272727,1.17840909090909,10.7593231016159,7,2.4903,23.72061731,1230.506615
"NRS_AL-10006","2009",13798,"FW08AL009",1,33.3581138346123,-87.1454761980554,"06/25/2009","2008-09","SAP",18227941,"H03W","SAP_LS",546.031938960976,"03","","",2.01,968.63,2020.39,1.45,0.113,20.665,8.11,NA,0,0,0.818181818181818,0.0909090909090909,0.181818181818182,0.636363636363636,0.454545454545455,0.0909090909090909,1.14431818181818,15.3300628969588,6,18.3519,25.89461213,1488.493805
"NRS_AL-10010","2009",13794,"FW08AL004",1,33.8727872249995,-86.323644059643,"07/01/2009","2008-09","SAP",22203253,"H03W","SAP_SS",450.998070197387,"03","SM_WADEABLE","YES-SUFFICIENT",3.36,2.8,248,1.74,0.736,56.6638,7.97,27.58,0,0,1,0.0909090909090909,1,0.909090909090909,0.181818181818182,0.454545454545455,1.18068181818182,18.4249882639608,6,10.2771,24.77609449,1628.540285
"NRS_AL-10019","2009",13793,"FW08AL002",2,33.4249521746404,-86.7756729482317,"07/10/2009","2008-09","SAP",21655478,"H03W","SAP_SS",450.998070197387,"03","SM_WADEABLE","YES-SUFFICIENT",7.46,23.49,318.5,2.12,0.284,14.1138,8.16,NA,0,0,0.545454545454545,0.181818181818182,0.636363636363636,0.909090909090909,1,0,0.520454545454546,18.5752134251791,5,19.7901,25.97209443,1468.473353
"NRS_AL-10019","2009",13792,"FW08AL002",1,33.4249521746404,-86.7756729482317,"06/26/2009","2008-09","SAP",21655478,"H03W","SAP_SS",450.998070197387,"03","SM_WADEABLE","YES-50-90% OF REACH",8.15,22.09,288.9,1.99,0.383,11.775,8.27,NA,0,0,0.727272727272727,0.0909090909090909,0.272727272727273,0.909090909090909,0.909090909090909,0.181818181818182,0.514772727272727,24.1476631319211,6,19.7901,25.97209443,1468.473353
"NRS_AL-10020","2009",13796,"FW08AL008",1,33.7787573256225,-85.7596005907322,"07/03/2009","2008-09","SAP",22202275,"H03W","SAP_SS",450.998070197387,"03","SM_WADEABLE","YES-SUFFICIENT",2.49,2.91,203.07,0.88,0.444,27.8225,8.21,NA,0,0,0.818181818181818,0.0909090909090909,0.818181818181818,0.818181818181818,0.363636363636364,0,1.07386363636364,9.59947349612153,5,10.9251,24.22272898,1408.275862
"NRS_AL-10023","2009",13795,"FW08AL007",1,34.0918440994054,-87.7379297880334,"07/19/2009","2008-09","SAP",18670272,"H03W","SAP_SS",3046.25834372429,"03","SM_WADEABLE","YES-SUFFICIENT",2.04,1.58,39.06,0.61,0.126,43.3113,7.21,3.96,0,0,0.636363636363636,0.0909090909090909,0.727272727272727,0.818181818181818,0.181818181818182,1,0.721590909090909,5.25564595789272,6,0.8883,24.63923073,1707.354126
"NRS_AL-10024","2009",14525,"FW08AL003",1,31.6767042089811,-87.0838257681298,"08/13/2009","2008-09","CPL",2409198,"H03W","CPL_SS",2069.79951197457,"03","","",2.92,0.26,21.43,6.14,0.486,45.8175,6.34,15.42,0,0.6,0.6,0.4,0.6,1,0.1,0.2,1.06875,15.8112990177714,7,5.4099,25.6274831,1663.347867
"NRS_AL-10026","2009",13902,"FW08AL006",1,32.9939009033072,-86.3618725351274,"06/27/2009","2008-09","SAP",22273974,"H03W","SAP_SS",450.998070197387,"03","SM_WADEABLE","YES-SUFFICIENT",2.32,1.8,80.98,2.71,0.969,63.115,7.55,5.78,0,0.0909090909090909,0.636363636363636,0,0,0.272727272727273,0,0.636363636363636,1.03636363636364,9.98548480406636,4,26.1252,25.27053902,1452.345535
"NRS_AL-10029","2009",13791,"FW08AL001",2,33.2234152078311,-86.8881572874762,"07/09/2009","2008-09","SAP",21655990,"H03W","SAP_SS",868.622275701132,"03","SM_WADEABLE","YES-SUFFICIENT",2.46,0.92,34.76,1.07,0.119,36.1438,7.62,2.81,0,0,0.181818181818182,0.0909090909090909,0,0,0.454545454545455,0.181818181818182,1.10454545454545,5.19720156768525,4,1.0008,25.92149,1511.602004
"NRS_AL-10029","2009",13371,"FW08AL001",1,33.2234152078311,-86.8881572874762,"06/15/2009","2008-09","SAP",21655990,"H03W","SAP_SS",868.622275701132,"03","SM_WADEABLE","YES-SUFFICIENT",3.21,1.31,34.54,1.54,0.099,14.6206,7.14,4.3,0,0,0.181818181818182,0.0909090909090909,0,0.272727272727273,0.0909090909090909,0.0909090909090909,1.01590909090909,6.81292691516593,5,1.0008,25.92149,1511.602004
"NRS_AL-10031","2009",12993,"FW08AL012",1,34.9509217689235,-87.0420280032953,"06/07/2009","2008-09","SAP",19598502,"H06","SAP_GE5",64.9260761593432,"05","LG_NONWADEABLE","YES-SUFFICIENT",5.45,9.47,269.17,1.58,1.306,174.2488,8.15,3.14,0,0,0.909090909090909,0.636363636363636,0.272727272727273,0.727272727272727,0.0909090909090909,0.363636363636364,0.930681818181818,0.767632348178264,6,4785.6267,23.72495188,1294.188961
"NRS_AL-10031","2009",13799,"FW08AL012",2,34.9509217689235,-87.0420280032953,"07/02/2009","2008-09","SAP",19598502,"H06","SAP_GE5",64.9260761593432,"05","LG_NONWADEABLE","YES-SUFFICIENT",6.43,7.99,252.85,2.17,0.864,179.0163,8.35,8.34,0,0.0909090909090909,0.909090909090909,0.636363636363636,0.272727272727273,0.636363636363636,0,0,0.851136363636364,0.682302163108704,5,4785.6267,23.72495188,1294.188961
"NRS_AL-10031","2013",1003111,"ALR9-0901",2,34.9509217689235,-87.0420280032953,"09/17/2013","2013-14","SAP",19598502,"H06","SAP_GE5",61.1588660915563,"05","LG_NONWADEABLE","YES-SUFFICIENT",5.477,6.265,264,1.54,0.894,185,8.13,7.06,0,0,0.818181818181818,0.727272727272727,0,0.454545454545455,0.0909090909090909,0.181818181818182,0.984090909090909,0.493039771348085,5,4785.6267,23.699324,1587.93458
"NRS_AL-10031","2013",1002621,"ALR9-0901",1,34.9509217689235,-87.0420280032953,"08/05/2013","2013-14","SAP",19598502,"H06","SAP_GE5",61.1588660915563,"05","LG_NONWADEABLE","NO->20 CW SAMPLED,<500 INDIV",3.539,8.499,233,2.6,1.189,314.8,8.09,5.25,0,0,0.727272727272727,0.818181818181818,0,0.636363636363636,0.0909090909090909,0.272727272727273,1.12386363636364,0.552292083612184,5,4785.6267,23.699324,1587.93458
